Model,Accuracy (%),F1 Score (%),Recall (%),Precision (%),Features,Paper Target Acc (%)
XGBoost Text-Only,90.42821158690177,90.28753993610223,88.0922693266833,92.59501965923984,159,95.39
XGBoost + OSINT,91.53022670025189,91.32537891002902,88.2793017456359,94.58917835671342,173,96.71
